"","X","White","Black","WhiteElo"
"1",0,"jordanhegel","FCPorto30",1486
"2",1,"edypenichexd","GreatScottPaloAlto",1345
"3",2,"Darlene1702","CraftyCarrot",1890
"4",3,"ArthurHSChess","JamBow",2012
"5",4,"JTEZ10","doudo",2170
"6",5,"RogueTofu","blitzero2006",2078
"7",6,"Rechie_14","DEYAHBEATS",1567
"8",7,"Asafyosef","UnBoRnSoJa",1246
"9",8,"The_Underpromoter","VS-2019",1442
"10",9,"tomo20","pocong_tengen",1801
"11",10,"prf_professor","GenioGenio",1394
"12",11,"Batistao","serinsha",1418
"13",12,"AlpaguTogan","iamvinniev",1864
"14",13,"SmokingBlunder","Amalganius",1117
"15",14,"julianthO","nyengkab_90",2000
"16",15,"Juanochoyocho","ntchesswiner",1332
"17",16,"goodfellabp","haohaojr",985
"18",17,"Brod76","mouhamouha20",1571
"19",18,"thoatte","juancamilocr",1775
"20",19,"CarlomagnoLopezGil","argenis18",1581
"21",20,"salahflah","GeronimoG",1372
"22",21,"swampthang22","duda_kereeen",1671
"23",22,"Chamonze","cost08",1161
"24",23,"apex_elephant","Gauchito13",1420
"25",24,"Ariff2020","danyal_jo0o0n",1707
"26",25,"Umjogadorqualquer","DASLINA",1221
"27",26,"Karim_Ahyayouch","GumerDias",1502
"28",27,"vmsdila","ThorG1",1643
"29",28,"KingLazy","SinRostro",2298
"30",29,"mamex","Alt_Pranto2002",1786
"31",30,"elhelw984","Jane-Z35G",1939
"32",31,"simonkedoh01","garrycusco",2114
"33",32,"Iqbal528","vertumnus",1576
"34",33,"Bonbone","davinciwho",914
"35",34,"Lirim91","yayoOoO",1898
"36",35,"anar_mammadov","irade_siz",2116
"37",36,"littlemills","Borkkie",1401
"38",37,"Sipna-ligo","msod",2455
"39",38,"Ascidzz","Jamel-Hellwig",1948
"40",39,"Richard-15","balapete",1633
"41",40,"farhan_hashim","Honbaime",1515
"42",41,"NativePawn05","Amm_ar_Ali",1389
"43",42,"B_BISNAR","jaksefar",1717
"44",43,"Manya2708","Pawn_Smacker",2753
"45",44,"DE_PRIME_17","sigur94",1437
"46",45,"severniy17","Chagalj",1044
"47",46,"leecher88","Zeekza",1798
"48",47,"erenbgc","yacht187",1333
"49",48,"I_FouL_LCKB","KnoxJM",2001
"50",49,"Sandro_Ladion","LunaKalem",2246
"51",50,"Smox_x","Silhim420",1265
"52",51,"PopovArsenii","helmerfudd",1609
"53",52,"Slanoushien","LuisChess1122",2000
"54",53,"funb880","Juancho_17mega",1558
"55",54,"JamesTimosa","Aminbouka",1747
"56",55,"Torenstr","cancoyote",2384
"57",56,"Glidarn21","Jack1137",1377
"58",57,"Sash17","Cebanova",1548
"59",58,"VoodooDeathray","chujchujchujchujchuj",1461
"60",59,"Pickle101","Daryl_Jefferson",1586
"61",60,"armanger-33","DANILO_PONAY",2145
"62",61,"rapanui379973","AzerRamazanli",1686
"63",62,"bilbao","jogru",2125
"64",63,"Wishfulthinking2025","m_georg",1903
"65",64,"Controlmental","Highblade",2081
"66",65,"moonman2020","TheConfusedPawn",1800
"67",66,"Bennykrik","snebedek",987
"68",67,"PlasmaB83","Meelad_rd2",2091
"69",68,"Champa86","AyubMagTag",1584
"70",69,"ilyasdwat","lucid73",2054
"71",70,"grandpappysteph","Izecio",1819
"72",71,"ConyJuul","to_nawet_nie_on",1950
"73",72,"boberarena","Thinkersaurish",2273
"74",73,"Adintarras","SchegolevAV",1946
"75",74,"tmrtnz","rkx7",1565
"76",75,"MikeHVD","XxHardChessxX",1472
"77",76,"UPSdriver","JoaoDaGoveia",1967
"78",77,"vichesss","Captain_Aze",2172
"79",78,"StickyBandit22","Keidens",1291
"80",79,"pili_123456","rooku2211",1786
"81",80,"yandrimanafe","lucky_star",2004
"82",81,"Artistic_Babysitter","Vikingmed6",1802
"83",82,"Da-Masta420","henryxxx",1399
"84",83,"SuperSpartanMan","El_Gamal",1170
"85",84,"petya1971","Mickdu76",1392
"86",85,"ato_salon","Eliterate",1898
"87",86,"roblensky","SapiensHacks",1532
"88",87,"arianovargas94","EcceHom0",2177
"89",88,"hamdochi","G-nsebl-mchen",1897
"90",89,"Hafrin","x_Leo_x",1768
"91",90,"Daneodonnell","pbry",942
"92",91,"HITACHI99","pancho24581",1503
"93",92,"HBKHuidorHBK","bocian44",2011
"94",93,"Bereterretxe","fadibe78",1219
"95",94,"mcgi2018","igarvel",2449
"96",95,"Come-Rossary","mrrafael",974
"97",96,"magnus-kasparov88","zreerz",1243
"98",97,"SE3F1","justne12",1869
"99",98,"MURZUF","salah250",1727
"100",99,"Yuditea","romanfire",1969
"101",100,"JairoLima23","Blamandag",1604
"102",101,"iNeedAMouse","SeherK",1953
"103",102,"leonn171","Alien_Project",2042
"104",103,"eddiib","easedude",1709
"105",104,"Pro_Manuel","c30e200",1769
"106",105,"mateussalmeida1","Mohamed12345789",1518
"107",106,"purplemug","urielramos",1585
"108",107,"penguinvitamins","RAlekhine",1743
"109",108,"sharathuk","Enormiker",985
"110",109,"Alberto-Rubio","kglarry",2109
"111",110,"maximus01","Vladjaquetiado",1178
"112",111,"felipon12","yemolala",2168
"113",112,"HighELOKingGambit","Mnnglss",1464
"114",113,"InvencibleCarlsen","NGANBA",1957
"115",114,"Wryn74","Arvinjag88",1862
"116",115,"Andrfcp","Maksimon",2119
"117",116,"Rous_K","Yassertinawy",2055
"118",117,"Goditroia","kabashi",2217
"119",118,"PurpleTurtleRabbit","qimari2",2287
"120",119,"Harolide","destroymichaelstack",1354
"121",120,"KasparWD","Lecram27",1346
"122",121,"Essemme","srhn1981",1028
"123",122,"Sametosan","Shubham_Kakde",1770
"124",123,"virtual34","r0ckwell",1565
"125",124,"MrKos","DKomitsky",1739
"126",125,"Adroyab","tigri110",1485
"127",126,"haruhako","yildizhasan",1319
"128",127,"Kirman2005","Fabiosoliz",1389
"129",128,"jonhy_tactic","kimjong2050",2142
"130",129,"Wpfm","Qussai1",1942
"131",130,"liquidness","Heverton_Hauth",1916
"132",131,"yolodqn","Naman009",1781
"133",132,"laosu","Ungernkhan88",1281
"134",133,"WinterBearPark","Havockleader",2107
"135",134,"OffsetAlien","RajMithun",2321
"136",135,"WINNER3030","Richard_Mutt",1728
"137",136,"mauricio_medina","Frankster3838",976
"138",137,"CampeonMundialBullet","profz",2480
"139",138,"CatKingofCharleston","marius_gerum",1606
"140",139,"dragoviron","Shapuchi23",1369
"141",140,"prc42","xmikuu",1139
"142",141,"dmack","OMW2FYQ",1857
"143",142,"Biygunbndegmolcamapi","Hold_Defense_27",1689
"144",143,"GuntherL","Nightmare777791",1147
"145",144,"AIO-57","berrakov12",1940
"146",145,"Gumruyan","tysundo",1967
"147",146,"waleed1986","jgmmarentek",2193
"148",147,"fastone_2020","mustfahusua",2150
"149",148,"nicolasabdala","sebastian_teclalux",1576
"150",149,"iamentropybro","Reza2850",2174
"151",150,"birinhajr","rerererarara",2073
"152",151,"Roseberline","K-SLEN",1914
"153",152,"vibesonvibess","Royaluba2905",2178
"154",153,"Antonlicey1","Efrain_Monterrosas",1734
"155",154,"Sybron","force69",1683
"156",155,"Trompicon","LostCookie",2012
"157",156,"Arthur1948","DRodchess",1718
"158",157,"doublemind","baltos_zavlianes",1642
"159",158,"K01100111","veysia",1416
"160",159,"Avanti1914","ElyShuri",2375
"161",160,"Cragga","Ozgurds",1627
"162",161,"Bigboss76","dejilee",1457
"163",162,"LivinyaLivisarani","cheebs",1097
"164",163,"fabioferasa","ar-jam",1859
"165",164,"dentist33","OjvindLoveby",1284
"166",165,"SneakyCONSTRICTOR","Fauxpawn",2032
"167",166,"mlaue","ilrvm",2019
"168",167,"LuvOuuMuchhhh0309","wjthiru",1588
"169",168,"luckyb34","theriseandfall",2010
"170",169,"Sam_marinella","kianosh12",1927
"171",170,"maia9","dwbcampbell",1670
"172",171,"taper1","madorna75",1876
"173",172,"schnecken_bot","sargon-1ply",1170
"174",173,"molig27759","SuperManPerseo",1677
"175",174,"RasulDarwisy","toolarge4life",1066
"176",175,"lionael","jbautista3030",1629
"177",176,"kutrang15554","sinx001",1320
"178",177,"bitolski","Ronimulyana",2019
"179",178,"farzin_nmn","MaciejK87",1326
"180",179,"morgana234","rorani",975
"181",180,"MvTrojanz","nikki_st",1153
"182",181,"zorrovaz","bishob69",2052
"183",182,"Cristian05Pro","PuppetKing23",1821
"184",183,"chesma9","chessbaj",1476
"185",184,"Prinex","oguzhan_19",1509
"186",185,"Yekiro","barbaramat",970
"187",186,"PourEts1","David_Perez_Veliz",1477
