"","names_n","elo_n"
"1","sanfer85",1782.45504087193
"2","LucaMichele",1091.5
"3","Nucko",1760.29230769231
"4","Druzhban7",1843.25
"5","ZIWZIW",1852.95973154362
"6","Orlando_Gibbons",2321.39867109635
"7","izzhan",1697.17808219178
"8","Cornpicker68",1598.69266055046
"9","jops_chess",1341.5503875969
"10","Rikoo1982",1171.0597826087
"11","scarfo609",1471.32029339853
"12","gmmiza",2202
"13","manuelteniza",1941.12418300654
"14","sbrdbz",1565.42696629213
"15","Rakesh_Kumar_Dubey",1804.8398744113
"16","Jacob46",1799.54619565217
"17","fedepg10",1421.25174825175
"18","NebihaYuce",1051.89380530973
"19","Hospitaletinfant",2103.43181818182
"20","joe2271",1520.88636363636
"21","KMBB",1822.16772823779
"22","Caniball74",2038.8021978022
"23","DoNtStOpBeRsErKiNg",2011.81428571429
"24","boatly",1739.70114942529
"25","Marcelo_Viana",1436.01754385965
"26","Tango1967",1219.95604395604
"27","Nopils08",1061.47126436782
"28","plazina1968",2171.78343949045
"29","Dan478",1738.18604651163
"30","DanielOrtega006",1841.13768115942
"31","atefnakamora",1539.0641025641
"32","dgngggl",1726.29279279279
"33","drmo7a",1059.88235294118
"34","victor11111119",898.176470588235
"35","e_vg",1781.84660766962
"36","JoKi10",2265.96052631579
"37","clepoi",1835.13141025641
"38","ubiica_0001",2011.6170212766
"39","Behradrainy77",1283.02777777778
"40","Excelmanbiz",1173.40909090909
"41","BorisGruzd",1861.42660550459
"42","kasparzin",2108.39673913043
"43","Goshik45",1105.39473684211
"44","Mirxpanda",1849.78846153846
"45","AbuOmarAhmad",2352.22134387352
"46","axel115",808.542168674699
"47","uckre",1448.88
"48","Potro_79",1504.37965260546
"49","Anawau",1918.2442159383
"50","Kokomiko",2010.8577540107
"51","RandomDuckling",1887.83771929825
"52","seigi11",1754.20588235294
"53","iOmba",2245.84830339321
"54","Sahisedra",1776.86206896552
"55","seri_killer",1858.18345864662
"56","DhyuvanV100",1326.875
"57","Francesco962",1795.16082121471
"58","Zijpsky",1553.19318181818
"59","vestan",1939.10427807487
"60","Preptassium",1644.55789473684
"61","freek_vielen",1441.23602484472
"62","bsamek",1205.54838709677
"63","nadz08",1465.33484162896
"64","funny_mickey",1864.75
"65","pantelgp",1841.07831325301
"66","Bratan_4",1752.95762711864
"67","pier94",1250.45736434109
"68","bobslidel",1565.33201581028
"69","Erastro6913",1797
"70","Squermytile",1514.54
"71","bumrah22",2031.72727272727
"72","Takdzwiedz111",1923.1780104712
"73","Divyarajsinh0909",1568.51048951049
"74","stillwaiting",842.636363636364
"75","Bustaman81",1573.32978723404
"76","Fateme_sh2008",1045.87272727273
"77","dhi14",1462.53594771242
"78","Beaker38",1311.13011152416
"79","sebastian_comeax",1618.56643356643
"80","gropipo",2194.63888888889
"81","slushatel73",1932.84565014032
"82","K88u",1361.86274509804
"83","grami117",1898.56153846154
"84","Lohthar",1962.76442307692
"85","MERMATA",809.111111111111
"86","ElGranFreezer03",2523.48684210526
"87","Lichcassius",2086.00862068966
"88","GPGanev",1400.46042003231
"89","AxJr",1747.88679245283
"90","Yo_One",807.170542635659
"91","Ton_8553",1435.23774954628
"92","alexandrejpmuller",1627.88387096774
"93","annndrea95",1501.15625
"94","Saban22",1077.4578313253
"95","Rajleo",1683.74641148325
"96","DasWinkey",1761.96460176991
"97","Michi_fdc",1821.17632850242
"98","MrKoK007",1383.36274509804
"99","Silaban16",1810.76817288802
"100","hatchling01",1847.78947368421
"101","anoop099",1500.85106382979
"102","bravoEdo",1772.44971537002
"103","Here_We_Go_Again2",1622.47945205479
"104","DasVornehmeKaninchen",1530.08474576271
"105","zmeul",2098.6303630363
"106","vista02",1411.5625
"107","JG_2010",1893.24079528719
"108","Mike1278",1603.23571428571
"109","tamiltiger",1906.48837209302
"110","djirdje",1201.47619047619
"111","Fernando_CXI",2222.79113924051
"112","ShileyScores",1370.0350877193
"113","Sannidhi124",1481.10526315789
"114","secan7",1714.11538461538
"115","aaronack",1768.76811594203
"116","Small_13",1813.93258426966
"117","OnlyModularTechno",1680.64242424242
"118","MisterMonopoli",2030.23711340206
"119","Alaincitopp",2123.8253968254
