"","names","elo"
"1","Pizzman4",1623.72
"2","zackrielcent420",2182.36842105263
"3","GSGbillcash",1882.10526315789
"4","cps123",2033.33333333333
"5","Mercberserk",1502.84615384615
"6","ChessProdigy_11",1881.28571428571
"7","gjob83",1197.42857142857
"8","derwolf21",1791.375
"9","diho66",1855
"10","FlolF",2104
"11","Kallu_mama",1978.72
"12","Camaroa",2112.37931034483
"13","IvanPankratov",1194
"14","Christian_Lazo2",1881.47368421053
"15","Rebmeb",2000.52631578947
"16","Akhmat08",1756
"17","FaeMess",1366
"18","Krishna11",1431.5
"19","shahta",2228.87719298246
"20","Aleix333",1740
"21","Bandz24",1521.66666666667
"22","papasonic",1511.83333333333
"23","Deaktivator",1835.75
"24","biggerBiju",1200.28571428571
"25","abhik1505040",1965.4
"26","SASHA1966",1909.66666666667
"27","rkapoor",1596.03333333333
"28","ludwigschwarz",944.641025641026
"29","emposs",1835.75
"30","Baralex2021",1586.025
"31","gondulfes",1984.33333333333
"32","Fedor228Rus",1674.375
"33","Kirtins",1667.66666666667
"34","samsonspb",1412
"35","LiquidArgon",2332.71111111111
"36","PinarelloDogma",1628.25
"37","GoldenStars",2133.5
"38","maashkhan",1218.89473684211
"39","volodja49",2437.69863013699
"40","ESPINETE1982",1423.14285714286
"41","Aquila-Reale",1960.27272727273
"42","Ronaldorr",1754
"43","babayawildi",2197.5625
"44","K190",1792.33333333333
"45","lngchess",1334.92307692308
"46","Maritimos",1656.8
"47","JoelitoMaster205",1908.91428571429
"48","Azamat14321",1840.18181818182
"49","Aaigit",1390.28571428571
"50","Petr_Shevchenko",1947
"51","aliberrez",1504.8
"52","Vedantkhewariya_1",1059.38235294118
"53","Anirudh2020",2410.13793103448
"54","CharlesHebert79",1587
"55","Virtual_Pal",1437.25
"56","LeoGNSO",1976.40476190476
"57","lucasmeneghin",2120.75
"58","KalamboLuw",1796.05555555556
"59","Fadli_LI",2208.85714285714
"60","Beginnersluck1",2516.84210526316
"61","sekalas",1750.2
"62","LemonTwist12",1444.66666666667
"63","CarlosSuricato",1722.2
"64","aspergesme",1757
"65","Nurkingsslayer",1700.4
"66","Karlov111",2117.3125
"67","xcarrolaggi",1896.26923076923
"68","dtikhan",1655.26315789474
"69","Donaldissimo",1884.87313432836
"70","Frank12master",1522
"71","Hari_Raja",515.8
"72","Magnum86",2225.25
"73","mans07",1572.18181818182
"74","LusiKodats",1046.33333333333
"75","big_blind",1707.85714285714
"76","zulus11",1939.62962962963
"77","Jhonry",2075.75
"78","oade",2004.8
"79","BagnusBalsen",2032.53846153846
"80","edgardo59",1510.63636363636
"81","Mommy_471",1794.86666666667
"82","AnnaComnena",909.25
"83","carocantera80",1124
"84","Sandygm",1900.7358490566
"85","Realmodd",1315.77142857143
"86","Kiraly06",1269.5
"87","GutsyEdge",2228.10526315789
"88","Za_Mir",1006.5
"89","ARMENI2021",2079.75925925926
"90","Aatsipoppaa",1956.4854368932
"91","B1K1M",1394.66666666667
"92","tajir512",1828.12820512821
"93","FrancisI",1101.9
"94","MoLaLi",1469.375
"95","cometomom",2321.68518518519
"96","MartyLegrand",1796.06666666667
"97","Bob-ssa",1332.64285714286
"98","sralexco",1036.33333333333
"99","Devanshshahdara",2053.83333333333
"100","chicham",1803.90395480226
"101","EnglishGood",2088.16
"102","Konstantin0612",1563
"103","Ravikumar05",1399
"104","ser_chess",1984.55
"105","Chessplayer19892",1263.75
"106","Sindusk00",1390.875
"107","SIMONMERIDA",2006
"108","Jokker24007",1204.57142857143
"109","mhykelite",1409
"110","redhawk555",1388
"111","Lina-79",968.5
"112","bveerasiva10",1886.66666666667
"113","kpblc_a",1210.66666666667
"114","mazxim99999999999876",1496.66666666667
"115","Ibne_Ahmad",1766.35664335664
"116","Ciuss",1313.6
"117","HealthPsyhcology",2588.07142857143
"118","basem_amin1",1787.27272727273
"119","selahattinorun",1787.84615384615
"120","babacoul",1757.8125
"121","rean16",1040
"122","Dauren_K",1920
"123","abo__chess_hard",1725.275
"124","TARIPEN",1403.42857142857
"125","Kano74",1538
"126","dolph1nnn",841
"127","Aleksa29",1867.7037037037
"128","spurlworld",1709.85714285714
"129","KingRookie",1595.2
"130","d_d_moyo",1665
"131","spiritfire94",1933.35714285714
"132","kingeo",1325.11538461538
"133","nagibator_3_0_0_0",1339
"134","mehdiafrasyabi",1711.31914893617
"135","DPRoberts",1221.97297297297
"136","Suharsha",2121.39130434783
"137","Diyar7050",1507.09090909091
"138","Harijar",1036.83333333333
"139","SarvarAzimov",1646.57894736842
"140","Viktor_0",1247
"141","IzmirTulumu",2675.73076923077
"142","zelly_21",1396.30769230769
"143","narayanagogu",1481.38461538462
"144","Elstred",693.25
"145","yeffersonmarco",1489.12
"146","hazem81aldeeb",2037.41509433962
"147","soseki80",1116.375
"148","Tom9999",1653.5
"149","tehsynth",1431.35714285714
"150","rohitdawre",1896.41176470588
"151","Californiaberba",2485.59615384615
"152","sampar0301",1911.9587628866
"153","Forceile-23",1754.125
"154","thelion61",1616.18181818182
"155","Sahmatist94",2219.29411764706
"156","fuzzwars",929
"157","bertingkneeega",1179
"158","GondalBronte",1911.1
"159","StephenSpark",1365.81818181818
"160","Sushi-1964",1474.35
"161","ancaman",1220.2
"162","JAMER-TJ",1801.11111111111
"163","Humpty79",1743.47058823529
"164","Scorpio1811",1328.03125
"165","mohamadjavad21",1414.25
"166","the_arm_of_cervantes",2161
"167","mohamad202020",1977.72727272727
"168","GrandmasterEttoh",2041.89189189189
"169","tagari1986",2202.25
"170","KevinBeatsAll",775
"171","Adventurer77",2097.07894736842
"172","Le_Grave_Musicien",2070.73076923077
"173","bouzid_BenAmmar",2010.77419354839
"174","Aastha11",1173.16666666667
"175","Ercus",1678
"176","Mikepov",2108.33333333333
"177","dieusmurf",1204
"178","Miheev",1757.84615384615
"179","gProPavel",1400.14285714286
"180","Fantastic1492",1623.93103448276
"181","KrishnaPrabhu",1018
"182","Juanulov",1409.15384615385
"183","Schachking1327",1383.16666666667
"184","radin13892010",996.818181818182
"185","skp9474skp",1695.88
"186","Spike1825",2293.46428571429
"187","Meguminka",1295.15789473684
"188","afsharhassan",1246.75
"189","zaferay",1844.8253968254
"190","nisako",1626.4375
"191","atacadorPeru",1822.42307692308
"192","Kh777alaagha",2155.16666666667
"193","Naviradz",1432.75
"194","lauwarmes",1608
"195","agewwi",696.333333333333
"196","zwenzy",1303
"197","ElRichi",1760.69230769231
"198","britovsky",1263.6
"199","Dimassssss",1474.16666666667
"200","mssr170996",2150.12903225806
"201","aaduhuli",1110.8
"202","Kostya_Fedorenko",1753.75
"203","esibest",1817.81818181818
"204","OAK1980",1095.5
"205","Harry_Puddu",2281
"206","kambalam",2151.81081081081
"207","ivanmontillaAg",1407.25
"208","regalo1",1492.14285714286
"209","ma2612",1025.8
