"","usernames","start_date","account_age_days","number_of_games","games_per_day","elo_progress_day","n_friends_G","n_friends_US","grit","grit_friend_G","grit_friend_US","grit_not_friend_G","grit_not_friend_US"
"1","Vitor_soares","2021-03-08 13:24:44",1002,390,0.389221556886228,-0.494011976047904,0,0,0.163278775876518,NA,NA,0.163278775876518,0.163278775876518
"2","holias","2020-09-26 05:59:17",1011,901,0.891196834817013,0.303659742828882,1,1,-0.00046893318561554,1.79175946922805,1.79175946922805,-0.0160484888704639,-0.0160484888704639
"3","Paselicali","2020-01-01 18:30:46",1439,2370,1.64697706740792,0.246699096594858,0,0,-0.0630282778072746,NA,NA,-0.0630282778072746,-0.0630282778072746
"4","donacc","2021-05-05 13:22:16",943,1140,1.20890774125133,0.96288441145281,0,2,-0.399985642343539,NA,-Inf,-0.399985642343539,-0.365173934382007
"5","YomeshS","2020-12-05 17:00:01",579,594,1.0259067357513,0.469775474956822,0,0,-0.125163142954006,NA,NA,-0.125163142954006,-0.125163142954006
"6","wilberone","2019-02-21 07:40:13",1752,5143,2.93550228310502,0.10958904109589,0,1,0.0823668723798294,NA,Inf,0.0823668723798294,0.0838063553228402
"7","Egorshaman","2017-11-07 07:45:52",2204,187,0.0848457350272232,-0.0576225045372051,0,0,-0.274778667615873,NA,NA,-0.274778667615873,-0.274778667615873
"8","akapoor0808","2019-11-28 11:48:10",1131,320,0.282935455349248,-0.185676392572944,0,0,0.262009717397654,NA,NA,0.262009717397654,0.262009717397654
"9","saintmel45","2023-02-15 02:57:37",299,2910,9.73244147157191,-0.404682274247492,0,0,-0.217568190149691,NA,NA,-0.217568190149691,-0.217568190149691
"10","yrruhhffrr","2023-02-13 14:16:35",304,1675,5.50986842105263,1.34868421052632,0,0,-0.181327026627446,NA,NA,-0.181327026627446,-0.181327026627446
"11","BobbyZero","2023-04-05 16:38:58",185,947,5.11891891891892,3.36216216216216,4,0,-0.0526410733485043,0.847297860387203,NA,-0.185180636312832,-0.0526410733485043
"12","everaldo170","2021-04-27 01:59:22",959,2024,2.11053180396246,-0.158498435870699,2,3,0.159022548745471,-0.693147180559945,0.60077386042893,0.16080438544626,0.141052861796146
"13","Gimbo_flint","2020-01-15 15:36:43",1421,2682,1.88740323715693,0.0710767065446868,1,4,0.0205810195890593,-0.405465108108164,-0.0496868528864023,0.0233145272464632,-0.0138022831516661
"14","Razor7526","2022-10-10 03:01:41",414,801,1.93478260869565,-0.490338164251208,0,2,-0.219887931543866,NA,NA,-0.219887931543866,-0.222052528258998
"15","supericsun","2019-09-07 09:19:16",1536,356,0.231770833333333,0.296875,0,0,0.22047414206144,NA,NA,0.22047414206144,0.22047414206144
"16","JIPerez","2022-02-18 17:01:46",664,1936,2.91566265060241,-0.66566265060241,0,0,-0.105201089591327,NA,NA,-0.105201089591327,-0.105201089591327
"17","jiejiuk","2018-01-19 16:49:24",2152,1923,0.893587360594795,0.0492565055762082,0,2,0.150182763613074,NA,-Inf,0.150182763613074,0.184223576224521
"18","koraleser","2022-04-07 23:49:36",615,2531,4.11544715447154,-0.630894308943089,0,0,-0.177072123935172,NA,NA,-0.177072123935172,-0.177072123935172
"19","Gilthbrim","2022-10-22 06:03:05",414,168,0.405797101449275,-0.369565217391304,0,0,-0.352821374622742,NA,NA,-0.352821374622742,-0.352821374622742
"20","tufan1371","2019-02-02 19:42:17",1771,1896,1.07058159232072,0.154150197628458,44,2,-0.39132652244315,-0.372797714276511,0.038839833316264,-0.125477499252766,-0.333504251352144
"21","Azathoth_Void","2022-06-08 12:33:49",352,608,1.72727272727273,-0.360795454545455,0,1,0.256390581312767,NA,-Inf,0.256390581312767,0.264532955386152
"22","Firelink120","2022-09-28 18:54:26",441,5104,11.5736961451247,1.63945578231293,3,0,0.0991809547759961,-Inf,NA,0.0845262558940582,0.0991809547759961
"23","ayanaaa","2021-03-27 02:37:27",987,1373,1.39108409321175,0.340425531914894,0,0,-0.0185047117354305,NA,NA,-0.0185047117354305,-0.0185047117354305
"24","ThreeviosFiver","2020-02-04 14:59:06",1408,6477,4.60014204545455,0.216619318181818,1,3,-0.0142839613682413,NA,Inf,-0.0139443510804929,-0.0139543548265387
"25","Apomocca","2022-06-18 14:30:03",442,191,0.432126696832579,0.287330316742081,0,0,0.296221833999915,NA,NA,0.296221833999915,0.296221833999915
"26","dshadri","2021-11-06 15:15:49",768,3889,5.06380208333333,0.545572916666667,0,0,-0.0197979896257746,NA,NA,-0.0197979896257746,-0.0197979896257746
"27","ChenPlayChess","2023-05-02 04:00:11",222,1988,8.95495495495495,0.68018018018018,0,1,0.0512174779040861,NA,NA,0.0512174779040861,0.0499493667862546
"28","Apocalipchess","2017-08-08 20:21:53",2319,2492,1.07460112117292,0.240189736955584,2,1,-0.259970012646484,-1.38629436111989,Inf,-0.240479117324685,-0.241560632347895
"29","torretrois","2019-03-19 15:13:58",1544,300,0.194300518134715,0.409326424870466,0,0,0.0888418519479018,NA,NA,0.0888418519479018,0.0888418519479018
